A=[6,14,10,161,171,10;
0,-18,7,50,60,10;
20,10,13,116,126,10;
20,-15,19,149,159,10;
-20,-5,26,34,44,10;
-10,-5,3,99,109,10;
-15,15,5,81,91,10;
-25,8,9,95,105,10;
20,25,16,97,107,10;
-5,25,16,124,134,10;
-15,30,12,67,77,10;
15,0,19,63,73,10;
-5,-10,23,159,169,10;
-20,-25,20,32,42,10;
-5,-30,8,61,71,10;
-25,-15,19,75,85,10;
-30,-5,2,157,167,10;
-15,5,12,87,97,10;
-20,25,17,76,86,10;
10,30,9,126,136,10;
10,-15,11,62,72,10;
10,-25,18,97,107,10;
20,-30,29,68,78,10;
30,0,3,153,163,10;
30,-15,6,172,182,10;
10,-5,17,132,142,10;
0,5,16,37,47,10;
6,2,16,39,49,10;
29,7,9,63,73,10;
5,25,21,71,81,10;
-4,17,27,50,60,10;
0,34,23,141,151,10;
18,17,11,37,47,10;
30,20,14,117,127,10;
28,30,8,143,153,10;
-33,25,5,41,51,10;
-15,-15,8,134,144,10;
-30,-30,16,83,93,10;
25,-23,31,44,54,10;
5,-10,9,85,95,10;
7,-28,5,97,107,10;
-11,-23,5,31,41,10;
-12,-32,7,132,142,10;
-24,-21,18,69,79,10;
-29,3,16,32,42,10;
-33,13,1,117,127,10;
-27,21,27,51,61,10;
-22,17,36,165,175,10;
-29,33,30,108,118,10;
12,12,13,124,134,10;
14,23,10,88,98,10;
-8,8,9,52,62,10;
2,-4,14,95,105,10;
22,-6,18,140,150,10;
28,-12,2,136,146,10;
18,-23,6,130,140,10;
-3,-23,7,101,111,10;
1,-9,18,200,210,10;
-14,-11,28,18,28,10;
-18,-1,3,162,172,10;
-23,-11,13,76,86,10;
-11,23,19,58,68,10;
-8,34,10,34,44,10;
-20,42,9,73,83,10;
27,42,20,51,61,10;
14,38,25,127,137,10;
32,-30,25,83,93,10;
21,4,36,142,152,10;
2,12,6,50,60,10;
2,21,5,182,192,10;
22,33,15,77,87,10;
12,-19,25,35,45,10;
9,-18,9,78,88,10;
11,-22,8,149,159,10;
14,-24,18,69,79,10;
14,7,13,73,83,10;
18,8,14,179,189,10;
26,17,3,96,106,10;
22,13,23,92,102,10;
21,2,6,182,192,10;
20,19,26,94,104,10;
-20,12,16,55,65,10;
-21,2,11,44,54,10;
-24,-4,7,101,111,10;
-19,-13,41,91,101,10;
-31,-17,35,94,104,10;
-7,-17,26,93,103,10;
-9,17,9,74,84,10;
-9,0,15,176,186,10;
-4,32,3,95,105,10;
-20,-16,1,160,170,10;
-13,-13,2,18,28,10;
-17,-11,22,188,198,10;
-9,-8,27,100,110,10;
-10,-11,20,39,49,10;
-13,-8,11,135,145,10;
-10,-14,12,133,143,10;
-16,-14,10,58,68,10;
-15,-9,9,83,93,10;
-17,-17,17,185,195,10]
