A=[5,18,10,912,967,90;
5,20,30,825,870,90;
2,16,10,65,146,90;
2,18,10,727,782,90;
2,15,10,15,67,90;
0,19,20,621,702,90;
0,16,20,170,225,90;
-2,18,20,255,324,90;
-2,20,10,534,605,90;
-5,16,10,357,410,90;
-5,19,10,448,505,90;
-15,35,20,652,721,90;
-18,25,30,30,92,90;
-18,35,10,567,620,90;
-20,30,40,384,429,90;
-20,35,40,475,528,90;
-22,25,20,99,148,90;
-25,25,20,179,254,90;
-25,30,10,278,345,90;
-10,0,10,10,73,90;
-10,2,20,914,965,90;
-12,2,20,812,883,90;
-12,5,10,732,777,90;
-15,0,10,65,144,90;
-15,2,40,169,224,90;
-15,5,10,622,701,90;
-17,2,10,261,316,90;
-17,5,20,546,593,90;
-20,0,10,358,405,90;
-20,5,10,449,504,90;
-30,-15,20,200,237,90;
-30,-10,30,31,100,90;
-32,-10,40,87,158,90;
-32,-5,20,751,816,90;
-35,-15,10,283,344,90;
-35,-5,10,665,716,90;
-38,-10,20,383,434,90;
-40,-10,30,479,522,90;
-40,-5,20,567,624,90;
-5,-20,10,264,321,90;
-5,-18,10,166,235,90;
-7,-18,20,68,149,90;
-7,-15,10,16,80,90;
-8,-20,10,359,412,90;
-10,-20,10,541,600,90;
-10,-18,30,448,509,90;
-10,-15,10,1054,1127,90;
-12,-20,10,632,693,90;
-12,-15,10,1001,1066,90;
-14,-18,10,815,880,90;
-15,-20,10,725,786,90;
-15,-15,10,912,969,90;
4,-45,20,286,347,90;
2,-40,40,186,257,90;
2,-35,10,95,158,90;
0,-45,30,385,436,90;
0,-35,40,35,87,90;
-2,-45,30,471,534,90;
-2,-35,10,651,740,90;
-5,-45,20,562,629,90;
10,-20,10,531,610,90;
10,-15,20,262,317,90;
10,-10,50,171,218,90;
8,-20,10,632,693,90;
8,-10,10,76,129,90;
7,-15,10,826,875,90;
7,-10,10,12,77,90;
5,-20,10,734,777,90;
5,-15,10,916,969,90;
55,-20,30,387,456,90;
55,-15,20,293,360,90;
13,-20,10,450,505,90;
52,-20,10,478,551,90;
13,-15,50,353,412,90;
5,15,20,997,1068,90;
50,-15,10,203,260,90;
48,-20,10,574,643,90;
48,-15,20,109,170,90;
47,-20,10,668,731,90;
45,-25,10,769,820,90;
45,-15,30,47,124,90;
35,5,20,369,420,90;
32,5,10,265,338,90;
30,8,20,458,523,90;
28,10,30,555,612,90;
26,5,10,173,238,90;
25,5,20,85,144,90;
25,10,30,645,708,90;
23,8,10,737,802,90;
20,5,10,20,84,90;
20,10,10,836,889,90;
27,35,20,368,441,90;
25,35,40,475,518,90;
25,32,10,285,336,90;
22,30,30,196,239,90;
20,30,10,95,156,90;
20,35,30,561,622,90;
18,25,20,30,84,90;
15,30,10,743,820,90;
15,35,20,647,726,90]
